Model,ROC_AUC,Gini,PR_AUC,Brier,F1,Recall,Mean_Predicted,Shipped,Actual_Rate
XGBoost (no SMOTE),0.7808,0.5616,0.5664,0.1345,0.545,0.588,0.2208,True,0.2213
XGBoost + SMOTE,0.7771,0.5543,0.558,0.1368,0.537,0.579,0.247,False,0.2213
LightGBM,0.7766,0.5531,0.5576,0.1364,0.533,0.548,0.247,False,0.2213
Random Forest,0.7741,0.5482,0.5484,0.1424,0.532,0.565,0.2931,False,0.2213
Neural Network (Keras MLP),0.7588,0.5177,0.5228,0.1679,0.528,0.52,0.3846,False,0.2213
Logistic Regression,0.7578,0.5156,0.511,0.1914,0.518,0.551,0.4359,False,0.2213
